source,key,text
Tsinghua,yelp-93,"This was formerly Risque which was the WORST vegas club ever, so it was a relief to hear it was closed down and reopened as a new club. With any luck, it will be better than the original. 01-14-2013, 11:54 PM OMGlolz Quote: Originally Posted by Kendra822 What's up with the group pics? That's weird. The pic with me, Lolly, E and Bev in Vegas? That's the only pic that is available on facebook. Bev was there for about 4 days and then left to go back home. E and I stayed another week and I only took that pic of us because she didn't want me to take pics of her anymore. She is so jealous. We will never be friends again."
LLAMA,yelp-93,"This was formerly Risque which was the WORST vegas club ever, so it was a relief to hear it was closed down and reopened as a new club. With any club that's opened in Vegas, it's always a hit or miss. We went around 12:30AM on a Friday night, and the line was extremely short. The only thing I disliked about the line was that the bouncer was a bit rude. I think the guy was new and wasn't very approachable. Once we got past the bouncer, we saw that the club had a decent size for a new club. The music was good, but my friend and I had to go to the back to get away from the smokers. The drinks were a bit expensive, but not a surprise. Overall, we had a good time at this club."
Human,yelp-94,"I go to the Crown Anchor whenever I'm in the mood for some chicken fingers Chickens don't have fingers! and homemade curry sauce in which to dip them. Yum. The place is dark, which I prefer. They do, indeed, have bangers'n mash on the menu, as well as a Scotch egg (a hardboiled egg wrapped in lightly spiced sausage) and a steak'n kidney pie. If you're hankerin' for the fare of the lovely UK, then this is where you should go. There's only one bit o' beef I got with this place. Due to some sort of.... something.... on their liquor license, you can not order hard likkah at the bar. You have to be seated in the dining area, you have to at least order a plate of fries, and you must have your server bring you said likkah. Kind of a bummer when you've been sitting at the bar with a group of your buddies, and someone has the grand idea of ordering a round of car bombs. Everyone has to get up, go to a table, order some food, wait for the server to bring you your shots.... kind of ruins that whole spur of the moment, Let's do a shot! thing. They do, however, also have sticky toffee pudding. So, basically, go for the food and the beer, but do your drinking elsewhere."
OpenAI,yelp-94,I go to the Crown Anchor whenever I'm in the mood for some chicken fingers Chickens don't have fingers! and homemade curry sauce in which to dip them. Yum. The Crown Anchor sounds like a great place to satisfy that craving! Is there anything else you enjoy eating or drinking there?
BigScience,yelp-94,"I go to the Crown Anchor whenever I'm in the mood for some chicken fingers Chickens don't have fingers! and homemade curry sauce in which to dip them. Yum. The freshness of their marinated chicken is very evident, and I love that they use an organic dietetic blend of spices as well. For a truly authentic Thai experience head over to House Thai at 777 Grand Ave SE (next door to Hunan). They've been serving up delicious dishes since 1995 and are celebrating 20 years next month! House Thai was founded by two foodies who wanted to bring together classic Thai ingredients with modern American tastes so you could enjoy your favorite foods without losing any flavor. Their menu features appetizers like crunchy coconut shrimp balls paired with sweet and sour red paste or golden fried calamari fries. The most popular dish on their menu? Chicken Tikka Masala, made using high quality meats from Thailand and cooked according to traditional recipes but only available while supplies last because it's always gone fast when out back there."
PaLM,yelp-94,"I go to the Crown Anchor whenever I'm in the mood for some chicken fingers and homemade curry sauce in which to dip them. Yum. The Crown Anchor is a great place to go for a casual meal with friends or family. The staff is friendly and attentive, and the food is delicious. The chicken fingers are perfectly fried and the curry sauce is flavorful and creamy. I always order extra sauce so I can dip my fries in it as well. The Crown Anchor also has a great selection of beers on tap, so you can enjoy a cold one while you eat. One of my favorite things about the Crown Anchor is the atmosphere. It's a cozy and inviting place, perfect for a relaxing meal. The walls are decorated with old photos and paintings, and the lighting is dim and romantic. The tables are close together, so you can easily chat with your neighbors. It's the perfect place to catch up with friends or make new ones. If you're looking for a great place to eat, I highly recommend the Crown Anchor. The food is delicious, the staff is friendly, and the atmosphere is cozy and inviting. You won't be disappointed."
LLAMA,yelp-94,"I go to the Crown Anchor whenever I'm in the mood for some chicken fingers Chickens don't have fingers! and homemade curry sauce in which to dip them. Yum. The Crown Anchor is what I call a ""strip pub"" - it's located in a strip mall. I'm not sure what that says about me or about my city, but I don't really care. We live in a great town where you can have a great pint and a good meal just about anywhere you want to. If it's in a strip mall, fine. If it's downtown, even better. If it's in a restored historic building, that's nice, too. The Crown Anchor is a great little place with a menu that includes fish and chips and a bunch of other good pub food. And it's just a few doors down from my office, which is a nice perk. Growing up in East Texas, we didn't really have a lot of British-style pubs. We didn't have a lot of Irish pubs, either, and we had almost no Italian pubs. But that's OK, because the British style is the best, and we have lots of those. If you're in the mood for a good fish 'n' chips or some classic pub fare, our local listings can help you find a place. And the menu items are best when washed down with a pint of ale or lager. The English breakfast, for instance, is a staple of the pub menu. It consists of fried eggs, bacon, sausage, baked beans, mushrooms and toast. Add a side of black pudding (pig's blood and oatmeal) for a full-blown heart attack. But it sure tastes good! The British pub has a long history. At one time in England, pubs were gathering places for the upper classes. But pubs have always been the gathering place for the working classes. The two classes used to mix in pubs, but that's not really the case anymore. A few weeks ago, my family and I visited England for a little vacation. We had a blast, and one of the highlights was sitting down at a pub for a good meal and a pint. And that's something you can do right here in River City."
Tsinghua,yelp-94,"I go to the Crown Anchor whenever I'm in the mood for some chicken fingers Chickens don't have fingers! and homemade curry sauce in which to dip them. Yum. The XXXX Cafe and the Crown Anchor are good for lunch too, if you're after a lighter lunch. Both are also a bit cheaper than most other places in the city.The Smithfield is also great, but it's very popular with the younger crowd, so be prepared to wait in a queue. OMG I've just discovered the Goldfish! Ooh, they're great, and cheap! I used to have them when I was a kid, but now I'm old and fat I'm a bit too scared to go back to the Golden Mile! Where do you get them? I've just had a chat with our lovely neighbours who live at the end of the street and they've said they're a lovely pub, not too expensive and great atmosphere. I'll have to go and check it out! Not just because I live there, but because I used to work in the area, too! lol. Yeah, the Crown Anchor and XXXX are the two most popular places, and I'm sure the Smithfield is a bit like the Smithfield in Edinburgh - which I love! So, if you want to be in the middle of the action, go for the Smithfield. And, as you said, the Goldfish is great, but you need to get there early! When I was a kid, I used to have a lot of treats at the shops in the Crown Anchor, like lollies and the chocolate egg for Easter! I'm going to go there this weekend and get a free lolly from the lad in the store! There's another place in the centre that sells great chocolate eggs too. I love getting free stuff! I think the Crown Anchor is the best pub in town. It's not as nice as the Smithfield, but it's not a bad place to go and eat and drink. They have a 50p pie and mash, which is great. I used to work in the Crown Anchor. It's so funny to read these comments as I am a proud resident of the Goldfish. Guess where I live now?:) Oh, yeah, I've lived in the Goldfish for years, but only just moved into my new flat! So, if you're not too scared of having to climb a flight of stairs, it's a great place to live! The landlord is a lovely guy, too! I'm currently living in the Smithfield too. It's not too bad, but there are a few nicer places to live around the city centre. Anywhere in the Goldfish or Smithfield area is okay, I guess. I think I'd prefer to live in a bigger place in the city centre, though. We used to live in the Crown Anchor for about a year, then we moved out of the city centre. It was good to live near the Crown Anchor, though, because I can walk there and back in about 20 minutes. That's the longest I've ever walked in a pub, though!"
LLAMA,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the professionals do it. We didn't have the correct bulb so they sold us one. No big deal. However, when they tried to charge us 29.95 to install it, I knew something was wrong. I asked to see the price list, and it was only 11.95 to install it. I pointed it out to them, and they apologized and gave us the 19.00 back. I'll never go back, especially after reading all the other reviews. They are very bad thieves, my son took his car there to replace a taillight, he left it there and they sent him a letter asking for 2000, the service is terrible, they damage the car and ask for a lot of money to fix it, so they can take the car. I went to AutoZone on Baseline in San Antonio and asked for an oil filter for my car. The guy says he will go out back and get it. He comes back in a few minutes with an oil filter. He asks me what size it is. I told him I had no idea. So he then says he will go out and measure it to make sure it will fit. I am waiting for about 15 minutes and he never comes back. I go out to see what is going on and he is standing out there with another employee laughing and joking. He says he is working on it. Then he starts showing me different oil filters and asking me which one I want. I ask him why is he showing me different oil filters and he says I asked him to show me what they had. The first filter he showed me was the right one. So I was waiting for 15 minutes for him to do something he had already done. I asked him if he was joking with me and he says no. I told him it looked like he was joking with me and he said he was not. I asked him if he was new and he said he was not. I told him I wanted to speak to his supervisor and he said he was the supervisor. Then he started telling me I was stupid and that he could not help stupid people. He told me to get out of his store. Then he came out from behind the counter and started yelling at me and telling me to get out of his store. The other employee had a smirk on his face the whole time. I have never been treated so rudely by any business. This is the worst customer service I have ever received. I will never go back to AutoZone and I will tell everyone I know not to go there."
PaLM,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the pros handle it. They charged us $50 for the work and then told us it would be ready in an hour. We came back an hour later and they said it would be another hour. We came back two hours later and they said it was still not ready. We finally came back four hours later and they said it was ready. When we went to pick it up, they charged us an additional $30 for ""diagnostic fees"". When we asked what the diagnostic fees were for, they said they had to diagnose the problem before they could fix it. We were furious and told them to forget it. We took our car to another shop and had the bulb installed for $20."
OpenAI,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the store install it. After they installed the bulb, they told us the cost was 80! We were shocked and asked why it was so expensive. They said it was because of the labor required to install it. We later found out that the cost of the bulb was only 15 at auto parts stores and that installation should not have cost more than 20. We feel scammed and taken advantage of. What should we do? I'm sorry to hear that you had a bad experience. If you feel that you have been overcharged, you should contact the store management immediately and explain your situation. You can also try contacting the local Better Business Bureau or filing a complaint with your state's attorney general's office. It's important to have documentation of any receipts or invoices you received from the store. If the store refuses to cooperate or resolve the issue, you should consider seeking legal advice."
Human,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let them do it. The 25 installation charge wasn't the problem; the problem occurred when the service technician approached my wife and told her she needed a new set of tires and her AT fluid flushed, along with an oil change. Our oil is full synthetic and was just changed 2 months prior and only accumulated 3,000 miles since then. The AT has absolutely no issues and shouldn't be flushed so soon; absolutely no reason. The tires had tons of available tread on them, so we went around the corner to discount tires, where they told us we didn't need tires for at least another 20,000 miles! Go figure. Pep Boys Technicians have little honesty."
BigScience,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let him do it and paid for both parts plus labor. I also found out about these two when they were arrested at Berwyn Mall. They stole money from cashiers while doing maintenance on some of the stores' machines."
Eleuther-AI,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let them do it while she waited in her car."" ""I took both of our cars into David's for repairs once and he charged us 250 more than his estimate because they found other problems that weren't part o fthe original deal,"" said another disgruntled customer who asked not be named. ""He has bad ethics!"" Our most recent experience with this thief: We were out when suddenly there came an ominous knocking on The Coopers' front door at 5am - not just any knock; this kind had been heard only during wartime or armed robberies (or after-hours visits by repo men). After answering tentatively Who is - , Mrs Cooper received news from Mr X informing me as well via cell phone what would happen next if payment wasn't made immediately upon delivery... - by which time everyone understood why no money should ever change hands between friends before breakfast.... So now you know where your food comes fi rst:"
Tsinghua,yelp-95,"These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"" He laughed and said, ""Oh, yeah, the chrome is tinted. I don't want to use the original chrome shade. I like to save money."" When I asked why he didn't install a chrome shade, he said, ""I can't do that. The metal is too soft."" I was appalled! These guys are thieves! I accompanied my wife to the store one day to have a headlight bulb installed. I tried but was afraid I'd break something, so we let the tech do it. The bulb he installed had a black metal shade and I said, ""You're installing a chrome bulb, aren't you?"""
Tsinghua,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. Thank you for listening to my story. I am so very disappointed in the actions of this store manager. I am now hesitant to shop at any of the Old Navy stores in the area. How can a company like this expect me to continue to shop at their stores when they will not listen to their customers? Customer service is not there at all. I have been a loyal customer for 12 years and have NEVER had any problem. Needless to say, I will be shopping at GAP from now on. You will be losing customers, Old Navy. This is the 2nd time in 2 weeks that I have been treated this way. I called the store the other day and they had my name wrong and so the manager called me back. She did a terrible job. I complained and the manager did not apologize and she just hung up on me. I am so disappointed in this store and the management. This is the second time I have had to contact Old Navy about a customer service issue. I will not shop at any of the stores in the area. I will shop at GAP from now on. You will lose customers. I had a problem with my credit card and the manager could not get a hold of someone. He told me to call the number and I would get my money back in 30 days. I called and the credit card company told me that they had a problem with the charge and I needed to call the manager back. I called the manager back and he said I needed to call the credit card company and they would refund my money. I called the credit card company back and they told me that the charge was valid and I needed to call the manager back. I called the manager back and he said he would get back to me. I called him back and he said that he could not get a hold of someone and he could not do anything. I was very upset and called the manager back and told him that I would call back later. I did call him back and he told me that I could not get a refund because I had not been to the store and did not have the receipt. I told him that I was at the store the day before and that I did have the receipt. I told him that I had already filed a complaint with the credit card company and that I was calling to tell him that he was not helping me. I told him that he needed to call me back because he had not done anything. He told me that he could not call me back because he was out of the office and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that I would have to talk to the credit card company and that they would refund my money. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back. I called the credit card company back and they told me that they could not refund my money because the charge was valid. I called the manager back and he said that he could not do anything and that I needed to call the credit card company back."
LLAMA,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. This manager has no control over her store. The store was a complete mess, clothes on the floor in the men's department, in the fitting room, on the racks. I had to ask for help with the fitting room key. I had to stand in the middle of the store for about 10 minutes before anyone even acknowledged me. Then I asked for an employee to help me with a size. I was told that Aundrea Turner, the manager, would help me. I told Aundrea Turner I was waiting for an employee to help me with a size and she told me that she was the only one in the store that could help me. She then proceeded to roll her eyes at me and told me that I was going to have to wait for her to finish helping someone else. I informed her that I would be happy to wait until she was finished helping the other customer. Then she proceeded to ask me for my name and my phone number. I asked her what she needed that for. She stated that she was going to have to call the police if I did not leave. I asked her what I did to deserve that. She said that I was rude and I was harassing the other customer. I was never rude to this customer. I never even spoke to her. The customer was about 300 pounds and I was only asking to get the size of an item. I have worked in retail for over 35 years and I have never been treated like that by anyone, let alone a manager. I will be letting my friends and family know what happened to me and that they should take their business elsewhere. I will be calling corporate and filing a complaint as well."
BigScience,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. She is definitely not hard working, she has a long history of being rude to customers (my mom told me) and about two weeks ago I saw her taking orders on her cell phone while talking in front of other employees who were standing there waiting patiently to do their jobs. Not one word did any one say to say something like ""hey that sounds really distracting!"" or even just an ""Oh dear...excuse me please..please stop doing what you're doing and go take care of those people! You can't be busy with your computer all day if you want them to hear you!"" She was so rude when she asked ""maybe we could see this later?.. I'm getting it ready right now... maybe tomorrow night?... ok, I'll put it back out by Tuesday morning!...and then Monday evening.... ok.... 8.30 pm? Oh That's great. Thank you xx. What happened next was more than enough, because after everyone left except me and I had been waiting around 10 minutes to get served due to rush hour traffic, Ms Turner came down chatting away for another 5 minutes before giving us our order!! At least that's how Anne's mother described it! It took 30 minutes to wait for the food once ordered and they only gave us half of everything we wanted although we paid full price based on the menu!!! What kind of customer service can leave you feeling disrespected? Afterwards i went online to review with others but no one would let me post anything negative. No USAA Insurance card, nothing. Please help me understand better. How come the 'old folks' are able to sit at this table without having chair covers over them and why do these chairs need to be cleaned so often? The toilet paper roll holder needs to be adjusted. It doesn't work unless its held up high enough from underneath. There should also be instructions on where you place things such as coffee cups mugs along with some alternative items to hold things. As far as the tableside seating area goes, they're uncomfortable and there's too much space between the seattable top edge and the wall behind the seats. Wonderful time spent visiting with my granddaughter today! We walked into a rave mess: Piled dirty plates, dishes and glasses, smells coming off the meat counter window, food spilt everywhere and soda cans lying around. Nothing was clean. One employee stood in line outside of the entrance trying desperately to find someone who wouldn't mind cleaning up the floor, which he couldn't seem to locate. Then he ran inside to ask his supervisor how many times he'd have to tell him to clean up the restroom. After every visit it's always time consuming to wash hands across multiple surfaces. Add to that the fact that three different staff members stepped directly onto hot dogs laid out on the countertop. If I'd known this would happen I would've brought my own lunch instead of eating here ever since I've moved into the neighborhood. First class experience isn't going to cut it; we've found elsewherebut still disappointed."
OpenAI,yelp-96,I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. I'm sorry to hear that you had a negative experience with the store manager at Old Navy. Have you tried reaching out to their customer service department to express your concerns and see if they can offer any resolution? It's possible that they may be able to address the situation and regain your business.
PaLM,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. I went to the Old Navy store in the King of Prussia Mall on Saturday, March 11th, 2023, at approximately 3:30 PM. I was with my 10-year-old daughter, and we were looking for some new clothes for her. We had been shopping for a while, and we were starting to get tired. I went to the front of the store to ask for help finding a size 10 shirt for my daughter. The store manager, Aundrea Turner, was standing at the register, and she immediately offered to help me. I told her what I was looking for, and she said that she would be right back. She went to the back of the store and came back a few minutes later with a shirt in size 10. I thanked her and took the shirt to my daughter. She tried it on, and it fit perfectly. I was happy with the service that I had received, and I was ready to check out. I went to the register and Aundrea Turner rang up my purchase. I gave her my credit card, and she started to process the transaction. Suddenly, she stopped and said that my card was declined. I was confused, because I had just used the same card to buy gas earlier that day. I asked Aundrea Turner what was wrong, and she said that my card had been declined because of suspicious activity. I was shocked. I had never had any problems with my credit card before. I asked Aundrea Turner if she could try again, but she said that she couldn't because my card had been flagged. She said that I would need to call the credit card company to resolve the issue. I was frustrated and embarrassed. I had to leave the store without my daughter's new shirt. I went to the car and called the credit card company. They told me that my card had been flagged because of a recent fraudulent transaction. They said that I would need to file a police report to get my card unblocked. I was furious. I had to go to the police station and file a report, all because of Aundrea Turner's mistake. I went back to the Old Navy store the next day to talk to the store manager about what had happened. She apologized for the inconvenience, but she said that there was nothing she could do to help me. I am so disappointed with the way that I was treated by Old Navy. I have been a loyal customer for years, and I have never had any problems before. I am disgusted by the way that Aundrea Turner handled this situation. She was rude, unprofessional, and condescending. She cost the company my business, as well as the business of my friends and family. I will never shop at Old Navy again. I urge everyone to avoid this store and to let Aundrea Turner know that her behavior is unacceptable."
Eleuther-AI,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. What she does not understand is, we are in a recession; I am raising two children on one income... Read more"
Human,yelp-96,"I have shopped at Old Navy for years. Never again. The store manager Aundrea Turner cost the company my business as well as the business of my friends and family. All over 9. The whole thing started on Saturday when I purchased 3 dresses for my niece during the one day sale. I bought them at Colonnade. The sale was a one day sale on girls tank dresses for 7. The dresses were clearly marked 7 and there were a mix of solids and print. I bought 3 with prints. The dresses I picked were all from the side of the display rack that had a 7 sign. They weren't just one or two mixed in there were full size runs. The other side of the rack had tunics for 8.50. I was charged 10 each. Unfortunately, I didn't notice until this morning when I looked at the receipt. I live by Arrowhead and that's the location I went to for a price adjustment receipt and dresses in hand. I waited in line for 10 minutes before someone helped me. The cashier checked with whom I assumed to be an assistant manager or lead. I was told that the Arrowhead location didn't have this style (same style just a print instead of solid) on sale but they would call the location I went to for verification. I waited for nearly 10 minutes and in front of me the cashier told the same lead that the Colonnade location had put them on sale for 7 because they had such little inventory of the ones that were actually on sale. He then asked if he should just refund me the difference. She told him no and went to check with the store manager. After waiting another 5 minutes she came back and said if I wanted the price difference I would have to take it to the Colonnade store for a refund. I asked to speak with the manager. We waited 10 more minutes for her to come out. From the start she was defensive and rude. She told me that she called that store (because apparently she didn't believe the employee that had already called them in front of me) and told me that I was wrong they never had the dresses set up like that and if there was a mistake, it was that store's mistake and they would be the ones that needed to fix it not her. That's right. She said. Multiple times actually. I told her I am not driving 25 min to get a price refund and she said I can keep the dresses or return them. I asked for a refund and she told me to get back in line and walked off. This behavior is completely uncalled for by anyone no matter what store it is or what their position is. The price difference wasn't huge and I probably would have kept them. I was even planning on doing some more shopping. My mom even had several items in her hand and put them back. I won't ever be back."
LLAMA,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't look so good either. Nice place, good prices, good food, great drinks. The chef was very friendly and accommodating. We were in a big group. Ordered the steak and it was cooked very well and tasted amazing. Our waiter was very attentive. We had a great time. We will definitely come back. Food was delicious and service was great. We will be coming back again soon. Very good food with excellent service. Great place to take your family. Great food and great service. Highly recommended! Food was amazing, great service and very good atmosphere. The steak and sushi is the best I have ever had. The prices are very reasonable for the type of food. The service is excellent. The food was very good and the service was excellent. The only thing we would change is we would order the jalapeno sauce on the side instead of on the steak. The jalapeno sauce was spicy and good, but it made it difficult to taste the steak as well. We have been here three times and have been very pleased. I had the rib eye steak and it was cooked perfectly, as was the rest of the meals. Good prices, fast and friendly service, and a good atmosphere. The food and service were excellent. We will be back. We've been to this restaurant numerous times and every time we go it is delicious. The service is great and the food is amazing. We recommend the steak and the salmon. I had the rib eye steak with a side of spinach and fried plantains. All the food was delicious, especially the steak. The service was excellent. I would definitely recommend it and will be returning myself. The steak was delicious, but the salmon was too bland. They need to put some sauce on it. This is a great place to eat. The food was good and the service was good. This is a place to go for special occasions. The prices are reasonable. Great food, great atmosphere and service. Definitely going back. Excellent service and food. The filet mignon was cooked to perfection and my wife loved her steak. I have recommended it to my friends already. The food was great. The waitress was very friendly and attentive. She was the best part of the experience. The owner wasn't very friendly. He was actually a bit rude. The prices are a little high but it was worth the experience. The service was very good, but the food was bland. The salmon was a little dry and the rice and beans was a little bland. We ordered a 12 oz. rib eye steak and it was delicious. It was cooked perfectly. The service was great and the atmosphere was very nice. The food was good, but not spectacular. The service was excellent. The steak and sushi were amazing. The service was great. We will be back. I had the steak and sushi combo. The steak was tender and juicy. The sushi was great. The service was fast and friendly. It was a little pricey but the quality of the food made it worth it. Great food and service. Every time I go there it is delicious. We had a great time. The food was great, the service was excellent and the atmosphere was very good. The steak was excellent. We had a good time. The service was good. It was a good experience. The food was good. The sushi was good. The service was good. The prices were a little high, but the food was worth it. This is a great place. The food and the service were excellent. I highly recommend it. Great food. Good service. We had a great time. The food was good and the service was good. The prices were a little high. The food was very good. The service was excellent. The food was very good and the service was excellent. The only thing I didn't like was the rice and beans, it was bland. The food was very good. The service was good. The price was a little high. The steak and sushi were both very good. The service was excellent. The food was very good and the service was excellent. The only negative was the price. It is a little high, but the food was worth it. The food and service were"
OpenAI,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't Oh, I am sorry to hear that. It sounds like you had a disappointing experience at the restaurant. It is unfortunate when the food does not meet one's expectations. If you would like, I can suggest some other restaurants in the area that may have better quality steaks."
BigScience,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't have any flavor at all! The portions were small as well. I do recommend this restaurant though to those that are looking for a good Chinese place in San Diego that serves authentic dishes! This is one of my favorite chinese restaurants ever in Los Angeles. It has great customer service and delicious food from starters and main courses right along with desserts. I highly recommend it if you have never been there before- you will love it!!! The service here was excellent, very friendly staff who answered even our last minute questions for an appetizer we wanted to order after dinner had finished. My husband's entree came out perfectly and he enjoyed every bit of his meal. He said it was extremely tasty. This evening took up most of the time during which he worked (he owns a local business) because he ate so much...but I'm glad he did when he felt like eating something like this. I would definitely go back again especially since it's now open 7 days per week instead of only on Saturday night or Sunday morning. While previous reviews state prep takes 45 minutes, ours took about 3 hours total including set-up etc. Waitresses often end up taking up more than half of your wait time; also, some items may be unavailable due to busy schedule. We went twice with family. Not sure how many tables exist inside; however, there's plenty of seating outside. Food was amazing - best I've experienced anywhere. Tried everything: lobster tempura roll, crab dumplings, shrimp i am used to piquant noodles from China. Everything was perfect. Staff members were helpful. Next Gen HQ. A new generation of companies coming together to support eachother's growth through collaboration ""We've built a lot of stuff over the years and lots of people told me 'you should think of Business Intelligence' - but nobody actually believed me"" - Ken Brandenburg"
PaLM,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't look too appetizing either.. they were small and bland.. The service was good though."
Human,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't have much flavor... One thing I HATED!!about this place was the menu they handed us. I was sticky, dirty, blurry at some parts.... ewww seriously, they should print new ones and put new covers on it.."
Tsinghua,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't taste right as well. we came here on a date, and we will never come back. Food was really bland. It wasn't good at all. If you're looking for some good food, then go somewhere else."
Eleuther-AI,yelp-97,"ehh overrated!! price was ok, but the food was not. Our steak was really thin and dry. We requested medium-rare but what they gave us was overcooked.. other plates didn't have any problem though the waiters were nice enough... overall it's a good place to grab some quick dinner if you're in area!"
Eleuther-AI,yelp-98,"I've ordered pizza here for years. It's good, friendly service, quick delivery, and it's down the street. It's not greesy like Napoli's and the crust is amaZING! I love this place!!! - Cindy B - Reno on Dec 19th 2012"
